Derivatives on Individual Securities,Symbol    
MAHINDRA & MAHINDRA LTD             ,M&M       
ACC LIMITED                         ,ACC       
MARICO LIMITED                      ,MARICO    
AMBUJA CEMENTS LTD                  ,AMBUJACEM 
ANDHRA BANK                         ,ANDHRABANK
MINDTREE LIMITED                    ,MINDTREE  
OIL INDIA LTD                       ,OIL       
CUMMINS INDIA LTD                   ,CUMMINSIND
STEEL AUTHORITY OF INDIA            ,SAIL      
SINTEX INDUSTRIES LTD               ,SINTEX    
IFCI LTD                            ,IFCI      
KAVERI SEED CO. LTD.                ,KSCL      
SUN TV NETWORK LIMITED              ,SUNTV     
TORRENT PHARMACEUTICALS L           ,TORNTPHARM
RELIANCE POWER LTD.                 ,RPOWER    
SUN PHARMACEUTICALS IND.            ,SUNPHARMA 
ULTRATECH CEMENT LIMITED            ,ULTRACEMCO
TV18 BROADCAST LIMITED              ,TV18BRDCST
DLF LIMITED                         ,DLF       
UPL LIMITED                         ,UPL       
PTC INDIA LIMITED                   ,PTC       
IDEA CELLULAR LIMITED               ,IDEA      
GMR INFRASTRUCTURE LTD.             ,GMRINFRA  
JAIPRAKASH ASSOCIATES LTD           ,JPASSOCIAT
THE SOUTH INDIAN BANK LTD           ,SOUTHBANK 
ADANI POWER LTD                     ,ADANIPOWER
NHPC LTD                            ,NHPC      
